symbol,pattern,entry_date,entry_price,stop_loss,target_price,exit_date,exit_price,exit_reason,pnl_pct,days_held,max_gain_pct,max_drawdown_pct,rs_rating,volume_ratio,num_contractions,proximity_score,contraction_quality,volume_quality,final_contraction_pct,risk_pct,reward_pct,theoretical_rr,realized_rr
WFC,VCP,2025-02-28,77.0327377319336,71.64044609069823,92.43928527832031,2025-03-04,71.64044609069823,stop,-7.000000000000011,2,0.8427009407043538,8.912174320498478,87.81266584335387,1.5967121904749098,2,97.5,100,95.0,5.638891428000022,7.0,20.0,2.857142857142857,-1.0000000000000016
IBM,VCP,2025-01-30,251.76499938964844,234.14144943237304,302.1179992675781,2025-03-20,234.14144943237304,stop,-7.0000000000000036,34,3.854561844501339,7.538461477982061,90.42112318983153,3.672928179961757,2,100.0,100,100.0,5.358703913121285,7.0,20.0,2.857142857142857,-1.0000000000000004
DE,VCP,2025-06-27,509.9391174316406,474.24337921142575,611.9269409179688,2025-08-14,474.24337921142575,stop,-7.000000000000006,33,3.372928240767186,8.055184300138515,82.33422349247536,1.5432488014703534,3,100.0,100,100.0,4.415929589688606,7.0,20.0,2.857142857142857,-1.0000000000000009
BLK,VCP,2025-07-16,1077.1546630859375,1001.7538366699218,1292.585595703125,2025-10-09,1167.4300537109375,time,8.380912576321238,60,9.931288928407145,0.47402022724173326,78.83938277111967,2.2195093483740105,3,100.0,100,100.0,3.9021209974263384,7.0,20.0,2.857142857142857,1.1972732251887483
MMM,VCP,2025-01-17,138.4167022705078,128.72753311157226,166.10004272460938,2025-04-04,128.72753311157226,stop,-7.000000000000006,53,11.409798998736392,9.910202114555414,90.13257953382181,1.7856552414260787,2,100.0,100,100.0,6.573793952581348,7.0,20.0,2.857142857142857,-1.0000000000000009
GILD,VCP,2025-02-03,96.33654022216797,89.5929824066162,115.60384826660156,2025-03-07,115.60384826660156,target,20.0,23,20.36999764453804,3.8828969203014694,84.51986665221375,1.562688544742206,2,97.5,100,95.0,5.284448153785326,7.0,20.0,2.857142857142857,2.857142857142857
GILD,VCP,2025-08-08,118.58648681640625,110.2854327392578,142.30378417968748,2025-09-16,110.2854327392578,stop,-7.000000000000011,26,2.0266254196384197,7.1142045919520145,90.17405313566518,1.7677855511536777,3,100.0,100,100.0,6.607888950489456,7.0,20.0,2.857142857142857,-1.0000000000000016
SPGI,VCP,2025-02-11,536.542724609375,498.98473388671874,643.85126953125,2025-03-07,498.98473388671874,stop,-7.000000000000001,17,0.9028563648220066,9.633659028147054,74.92061520472876,1.7902229576480322,2,90.0,100,80.0,3.964684637433597,7.0,20.0,2.857142857142857,-1.0000000000000002
ADP,VCP,2025-02-28,310.3388366699219,288.6151181030273,372.40660400390624,2025-03-11,288.6151181030273,stop,-7.000000000000004,7,2.43035073443485,7.345011277911303,79.87604503644442,1.942264130442485,2,100.0,100,100.0,2.9259307413482833,7.0,20.0,2.857142857142857,-1.0000000000000007
MO,VCP,2025-07-30,60.521907806396484,56.285374259948725,72.62628936767578,2025-10-23,64.56999969482422,time,6.688638932826067,60,11.54471599987758,0.9593535113492652,76.61803764446391,2.338198917472392,3,100.0,100,100.0,4.246568998868689,7.0,20.0,2.857142857142857,0.955519847546581
