symbol,entry_date,entry_price,stop_loss,target_price,exit_date,exit_price,exit_reason,pnl_pct,days_held,max_gain_pct,max_drawdown_pct,overall_score,trend_template_score,prior_advance_pct,num_contractions,final_contraction_pct,base_duration_days
LLY,2023-08-08,512.3341064453125,476.4707189941406,619.9242687988282,2023-09-18,562.7951833956517,trailing_stop,9.849251946244488,28,15.630791522362616,0.9029767297179766,100.0,100.0,41.782016948880965,2,4.5861775097648705,17
DHR,2024-01-30,242.71099853515625,225.7212286376953,293.68030822753906,2024-04-25,243.81817626953125,time,0.4561712246487369,60,5.735860821643283,5.69871626948394,96.66666666666666,88.88888888888889,31.100506381280873,2,4.488133349831287,68
GE,2024-07-23,170.68971252441406,158.74143264770507,206.53455215454105,2024-08-02,158.74143264770507,stop,-7.000000000000006,8,1.5872104357659524,7.930234063471439,96.0,100.0,68.7164252275358,2,7.3373795028220545,37
XOM,2023-01-31,104.63915252685547,97.31441184997558,126.61337455749512,2023-03-13,97.31441184997558,stop,-7.000000000000001,28,3.120416388893838,9.905937974591165,96.0,100.0,41.29020722216934,2,5.245803795106231,23
XOM,2023-04-03,105.55339050292969,98.16465316772461,127.71960250854492,2023-05-03,98.16465316772461,stop,-7.000000000000001,21,3.26361240756769,7.207422348594636,96.0,100.0,37.75524284226536,2,5.245803795106231,23
EOG,2022-05-06,112.44804382324219,104.57668075561523,136.06213302612306,2022-05-09,104.57668075561523,stop,-7.000000000000004,1,0.0,11.685107800122625,100.0,100.0,45.51467545118094,2,7.89632581619118,15
NFLX,2023-03-23,32.0369987487793,29.794408836364745,38.76476848602295,2023-04-12,33.23099956512451,trailing_stop,3.7269434184770853,13,9.186256229975875,0.0,92.66666666666666,88.88888888888889,57.14352633831048,2,13.325360817844334,23
SHOP,2023-05-04,57.29999923706055,53.28899929046631,69.33299907684327,2023-05-05,59.41205139160156,trailing_stop,3.6859549435647745,1,9.143110466910297,0.48865407159687557,96.66666666666666,88.88888888888889,131.33729520519336,2,8.781608493848779,20
UBER,2023-05-03,37.84000015258789,35.191200141906734,45.78640018463136,2023-06-15,41.5625,trailing_stop,9.837473130024621,30,15.61839276844697,3.0523223431273805,96.66666666666666,88.88888888888889,49.12815295572099,2,5.69079431346585,43
COIN,2024-11-08,270.739990234375,251.78819091796873,327.5953881835938,2024-11-11,318.1169860839844,trailing_stop,17.49907570307435,1,23.683237582183523,0.0,89.33333333333334,77.77777777777779,69.14912153772377,2,12.695152411227467,19
ABNB,2022-02-15,180.07000732421875,167.4651068115234,217.88470886230476,2022-02-22,167.4651068115234,stop,-7.000000000000014,4,6.475252917786762,10.41261689196266,86.0,66.66666666666666,63.13713730076689,2,7.017435263323122,20
ABNB,2024-02-12,153.8000030517578,143.03400283813477,186.09800369262695,2024-02-14,143.03400283813477,stop,-6.999999999999998,2,0.0,7.3016875843363085,100.0,100.0,36.83931303310929,3,5.224444242352048,56
ABNB,2024-02-15,157.69000244140625,146.6517022705078,190.8049029541016,2024-02-20,146.6517022705078,stop,-7.000000000000009,2,0.0,7.489376229150644,96.66666666666666,88.88888888888889,36.83931303310929,3,5.224444242352048,56
