symbol,pattern,detector,entry_date,entry_price,stop_loss,target_price,exit_date,exit_price,exit_reason,pnl_pct,days_held,max_gain_pct,max_drawdown_pct,rs_rating,volume_ratio,num_contractions,proximity_score,spy_above_200ma,spy_distance_from_200ma
GE,VCP,v3,2024-09-20,186.0021514892578,172.98200088500977,0,2024-10-29,172.98200088500977,stop,-6.999999999999999,27,4.086072796895382,7.685051549161294,91.66007178390011,1.8602555334692599,3,100.0,True,10.25272595741949
GE,VCP,v3,2025-07-16,265.8551330566406,247.24527374267578,0,2025-09-29,291.5312809901293,trailing_stop,9.65794703238562,52,15.429417928826966,4.327884703942874,91.58540622697556,1.7644067023431422,2,90.0,True,7.30963389020162
GE,VCP,v3,2025-09-19,300.7724914550781,279.71841705322265,0,2025-11-28,298.45001220703125,open,-0.7721714299107533,49,5.285563814611891,5.5631693008917775,91.237993656286,1.9015712400696754,2,90.0,True,11.577067509570968
CAT,VCP,v3,2024-03-15,337.9712219238281,314.3132363891601,0,2024-04-12,353.4973037343366,trailing_stop,4.59390646402661,19,10.098848909501697,0.0,87.77799731514844,1.7557352290704487,2,90.0,True,12.492787591859033
CAT,VCP,v3,2024-09-24,378.8276672363281,352.30973052978516,0,2024-11-08,391.6604877347682,trailing_stop,3.387508782571162,33,8.8289566132328,4.511364461547408,79.6629250135096,1.5266564543088033,2,100.0,True,10.585123022299012
CAT,VCP,v3,2024-10-30,373.5982360839844,347.4463595581054,0,2024-11-08,391.6604877347682,trailing_stop,4.834672625896299,7,10.352286974627681,1.711305979345939,80.22967746665752,1.7275846163457103,2,90.0,True,9.233893648104127
CAT,VCP,v3,2025-07-31,436.76513671875,406.1915771484375,0,2025-08-11,406.1915771484375,stop,-7.000000000000002,7,0.39267795684524137,7.127531835320815,86.31693592799878,1.621011560989556,2,100.0,True,7.986985995792042
CAT,VCP,v3,2025-09-17,449.3689270019531,417.9131021118164,0,2025-10-14,503.53531335712273,trailing_stop,12.053878917830511,19,17.95145149245317,0.39719599532327443,84.01898788154969,1.5926959490416364,2,100.0,True,10.638387329998004
CAT,VCP,v3,2025-10-29,585.489990234375,544.5056909179688,0,2025-11-14,544.5056909179688,stop,-6.999999999999998,12,1.4142050991444717,7.598761887725083,91.62019540466808,2.358613853992349,2,100.0,True,13.473519588362375
SBUX,VCP,v3,2024-10-23,94.53976440429688,87.92198089599609,0,2024-12-18,87.92198089599609,stop,-7.000000000000009,39,6.460888127678628,7.634970816894213,71.91381911167916,1.846752847421677,2,90.0,True,9.414684864855731
